分类: 📡卫视频道, 名称: 河北卫视, 有效: 4, IPv4: 4, IPv6: 1, 最小延迟: 52 ms, 最高速率: 8.44 MiB/s, 平均速率: 5.70 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 20, IPv6: 2, 最小延迟: 35 ms, 最高速率: 8.41 MiB/s, 平均速率: 3.81 MiB/s, 最高分辨率: 1280x720, 平均帧率: 37.22, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 3, IPv4: 7, IPv6: 1, 最小延迟: 35 ms, 最高速率: 9.68 MiB/s, 平均速率: 7.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 4, IPv4: 6, IPv6: 1, 最小延迟: 52 ms, 最高速率: 14.12 MiB/s, 平均速率: 8.13 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 52 ms, 最高速率: 8.87 MiB/s, 平均速率: 7.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 52 ms, 最高速率: 13.64 MiB/s, 平均速率: 10.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 52 ms, 最高速率: 13.95 MiB/s, 平均速率: 10.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 3, IPv4: 4, IPv6: 2, 最小延迟: 51 ms, 最高速率: 9.08 MiB/s, 平均速率: 6.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 34 ms, 最高速率: 9.00 MiB/s, 平均速率: 3.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 43 ms, 最高速率: 14.15 MiB/s, 平均速率: 14.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.0, 视频编解码器: h264, 音频编解码器: aac
